date,day_idx,replacement_type,would_be_victim,would_be_victim_score,would_be_victim_entry_date,would_be_victim_entry_day_idx,would_be_victim_mtm_pnl_at_review,incoming_code,incoming_score,stability_score,actual_exit_reason,actual_exit_pnl,still_held_at_end
2019-04-03,63,FULL_DOWNGRADE_REPLACE,US.SBUX,82.37,2019-03-28,59,8.84,US.LIN,100.0,0.13824289989805488,ATR_TRAIL,380.38,False
2019-06-20,117,FULL_DOWNGRADE_REPLACE,US.TTWO,81.0,2019-06-05,106,-0.23,US.ADBE,100.0,0.298172339397438,STRAT_EXIT,255.47,False
2019-07-09,129,FULL_DOWNGRADE_REPLACE,US.SPY,81.2,2019-07-03,126,-13.08,US.AMZN,100.0,0.10845783232854546,STOP_LOSS,-124.03,False
2020-05-28,353,FULL_DOWNGRADE_REPLACE,US.NFLX,80.6,2020-04-13,321,209.0,US.WDAY,100.0,0.3149468266700634,STRAT_EXIT,1167.12,False
2023-07-11,1137,FULL_DOWNGRADE_REPLACE,US.FTNT,86.62,2023-07-10,1136,18.86,US.EA,100.0,0.02947855854105523,STRAT_EXIT,16.47,False
2023-07-27,1149,FULL_DOWNGRADE_REPLACE,US.VRSK,83.97,2023-07-21,1145,-36.34,US.KDP,100.0,0.13831051425441448,STRAT_EXIT,116.6,False
