date,reason,code,total_score,price,occupied_slots,observation_occupied,observation_occupancy_pct
2015-10-22,MAX_POSITIONS,US.TTWO,83.82,32.76,10,3,30.0
2015-10-23,MAX_POSITIONS,US.SBUX,80.62,50.080791585,10,3,30.0
2015-10-23,MAX_POSITIONS,US.SPY,83.75,174.812428301,10,3,30.0
2015-10-23,MAX_POSITIONS,US.AAPL,95.92,26.684840588,10,3,30.0
2015-10-23,MAX_POSITIONS,US.GOOGL,98.76,35.650378922,10,3,30.0
2015-10-23,MAX_POSITIONS,US.ON,100.0,11.48,10,3,30.0
2015-10-23,MAX_POSITIONS,US.GOOG,100.0,34.79323653,10,3,30.0
2015-10-23,MAX_POSITIONS,US.META,100.0,101.300427261,10,3,30.0
2015-10-23,MAX_POSITIONS,US.AMZN,100.0,29.9515,10,3,30.0
2015-10-23,MAX_POSITIONS,US.ALGN,100.0,67.97,10,3,30.0
2015-10-26,MAX_POSITIONS,US.BKNG,80.88,55.474410429,10,3,30.0
2015-10-27,MAX_POSITIONS,US.REGN,86.94,563.138796047,10,3,30.0
2015-10-29,MAX_POSITIONS,US.VRTX,80.04,126.17,10,3,30.0
2015-11-02,MAX_POSITIONS,US.FAST,99.5,7.631063872,10,3,30.0
2015-11-03,MAX_POSITIONS,US.AMD,88.95,2.28,10,3,30.0
2015-11-05,MAX_POSITIONS,US.META,100.0,107.813234846,10,3,30.0
2015-11-05,MAX_POSITIONS,US.MELI,100.0,115.564211034,10,3,30.0
2015-11-20,MAX_POSITIONS,US.INTU,100.0,94.942696171,10,2,20.0
2015-11-20,MAX_POSITIONS,US.GOOG,100.0,37.499377149,10,2,20.0
2015-11-20,MAX_POSITIONS,US.ISRG,93.06,57.395518274,10,2,20.0
2015-11-23,MAX_POSITIONS,US.MELI,81.67,124.427806367,10,2,20.0
2015-11-24,MAX_POSITIONS,US.PANW,100.0,30.474695067,10,2,20.0
2015-11-24,MAX_POSITIONS,US.CPRT,100.0,4.89125,10,2,20.0
2015-11-25,MAX_POSITIONS,US.FTNT,84.98,7.352,10,2,20.0
2015-12-22,MAX_POSITIONS,US.AMD,100.0,2.77,10,4,40.0
2016-02-19,MAX_POSITIONS,US.AMAT,87.4,16.320828662,10,7,70.0
2016-02-22,MAX_POSITIONS,US.QCOM,83.4,37.889692659,10,7,70.0
2016-02-25,MAX_POSITIONS,US.CPRT,100.0,4.76125,10,6,60.0
2016-03-01,MAX_POSITIONS,US.WDAY,100.0,71.74,10,6,60.0
2016-03-01,MAX_POSITIONS,US.FAST,85.67,8.924348331,10,6,60.0
2016-03-03,MAX_POSITIONS,US.VRSK,86.86,72.399003223,10,6,60.0
2016-03-04,MAX_POSITIONS,US.AVGO,100.0,11.116970955,10,6,60.0
2016-03-11,MAX_POSITIONS,US.AMAT,84.43,17.88663004,10,7,70.0
2016-03-14,MAX_POSITIONS,US.ISRG,82.2,65.895348206,10,7,70.0
2016-03-14,MAX_POSITIONS,US.AMD,100.0,2.72,10,7,70.0
2016-03-17,MAX_POSITIONS,US.FAST,100.0,9.352411291,10,7,70.0
2016-03-17,MAX_POSITIONS,US.LRCX,83.7,6.672084859,10,7,70.0
2016-03-17,MAX_POSITIONS,US.ADI,83.18,47.599878287,10,7,70.0
2016-03-18,MAX_POSITIONS,US.ADBE,100.0,93.42,10,7,70.0
2016-03-18,MAX_POSITIONS,US.ADI,87.35,48.53756381,10,7,70.0
2016-03-18,MAX_POSITIONS,US.NXPI,83.69,73.464785337,10,7,70.0
2016-03-18,MAX_POSITIONS,US.AMD,82.8,2.93,10,7,70.0
2016-03-29,MAX_POSITIONS,US.ASML,87.59,82.592880303,10,7,70.0
2016-03-29,MAX_POSITIONS,US.KLAC,90.67,6.042961433,10,7,70.0
2016-03-29,MAX_POSITIONS,US.ON,100.0,9.88,10,7,70.0
2016-03-29,MAX_POSITIONS,US.LRCX,92.13,6.908640719,10,7,70.0
2016-03-30,MAX_POSITIONS,US.TXN,93.85,44.119935776,10,7,70.0
2016-03-30,MAX_POSITIONS,US.AAPL,93.34,24.790374562,10,7,70.0
2016-03-30,MAX_POSITIONS,US.COST,85.3,132.597292845,10,7,70.0
2016-04-01,MAX_POSITIONS,US.SNPS,81.76,49.28,10,7,70.0
2016-04-05,MAX_POSITIONS,US.MRVL,100.0,10.055175112,10,6,60.0
2016-04-06,MAX_POSITIONS,US.TSLA,86.24,17.69448972,10,6,60.0
2016-04-06,MAX_POSITIONS,US.AMGN,100.0,117.718450787,10,6,60.0
2016-04-06,MAX_POSITIONS,US.REGN,92.03,423.70047671,10,6,60.0
2016-04-08,MAX_POSITIONS,US.PEP,91.87,76.793778445,10,6,60.0
2016-04-13,MAX_POSITIONS,US.NFLX,82.42,10.965,10,6,60.0
2016-04-13,MAX_POSITIONS,US.AMZN,86.9,30.741,10,6,60.0
2016-04-22,MAX_POSITIONS,US.AMD,100.0,3.99,10,6,60.0
2016-04-29,MAX_POSITIONS,US.MNST,100.0,24.0364263,10,5,50.0
2016-05-11,MAX_POSITIONS,US.EA,100.0,71.212137008,10,4,40.0
2016-05-13,MAX_POSITIONS,US.NVDA,100.0,1.00202751,10,4,40.0
2016-05-24,MAX_POSITIONS,US.NFLX,86.96,9.789,10,3,30.0
2016-05-24,MAX_POSITIONS,US.CTAS,100.0,21.155761457,10,3,30.0
2016-05-24,MAX_POSITIONS,US.TTWO,85.99,38.33,10,3,30.0
2016-05-24,MAX_POSITIONS,US.ADBE,100.0,99.63,10,3,30.0
2016-05-24,MAX_POSITIONS,US.SNPS,100.0,51.18,10,3,30.0
