date,day_idx,replacement_from,replacement_to,victim_score,incoming_score,score_delta,holding_days_before_replacement,victim_pnl,replacement_type,replacement_stability_score,incoming_final_pnl,incoming_closed
2015-03-20,53,US.FTNT,US.ADI,42.65,92.5,49.85,2,5.95,OBSERVATION_EVICT,,-88.4,True
2015-04-10,67,US.WDAY,US.ISRG,49.55,100.0,50.45,4,0.67,OBSERVATION_EVICT,,-114.62,True
2015-04-10,67,US.VRSK,US.DXCM,51.14,100.0,48.86,5,2.95,OBSERVATION_EVICT,,373.22,True
2015-04-16,71,US.GILD,US.NFLX,40.18,100.0,59.82,1,-2.72,OBSERVATION_EVICT,,351.33,True
2015-04-21,74,US.MELI,US.PCAR,46.69,100.0,53.31,1,16.26,OBSERVATION_EVICT,,-22.07,True
2015-04-21,74,US.AMZN,US.PANW,48.87,98.84,49.97,1,2.56,OBSERVATION_EVICT,,-55.51,True
2015-05-14,91,US.CTAS,US.ADBE,43.26,100.0,56.74,1,9.39,OBSERVATION_EVICT,,-7.36,True
2015-05-14,91,US.EA,US.HON,47.55,85.36,37.81,6,30.52,OBSERVATION_EVICT,,-3.56,True
2015-05-20,95,US.CTAS,US.ADI,48.79,100.0,51.21,3,6.02,OBSERVATION_EVICT,,-126.67,True
2015-05-27,99,US.PANW,US.AVGO,45.29,100.0,54.71,1,-12.84,OBSERVATION_EVICT,,-188.52,True
2015-07-07,127,US.AMAT,US.AEP,44.89,100.0,55.11,4,-1.15,OBSERVATION_EVICT,,-49.42,True
2015-07-07,127,US.QCOM,US.XEL,50.96,100.0,49.04,4,0.54,OBSERVATION_EVICT,,-25.06,True
2015-08-10,151,US.XEL,US.TXN,45.27,88.92,43.65,1,-5.63,OBSERVATION_EVICT,,-73.33,True
2015-10-08,193,US.COST,US.MDLZ,43.17,88.4,45.23,11,30.52,OBSERVATION_EVICT,,-19.89,True
2015-10-09,194,US.XEL,US.COST,51.09,91.12,40.03,11,17.74,OBSERVATION_EVICT,,48.69,True
2015-10-14,197,US.AEP,US.ON,53.9,89.9,36.0,10,17.5,OBSERVATION_EVICT,,-110.54,True
