date,victim_code,incoming_code,victim_ret_5d_pct,candidate_ret_5d_pct,victim_ret_10d_pct,candidate_ret_10d_pct,victim_ret_20d_pct,candidate_ret_20d_pct,victim_ret_60d_pct,candidate_ret_60d_pct
2015-03-20,US.FTNT,US.ADI,-2.067,-3.652,-2.577,2.8,-1.926,4.339,20.292,9.761
2015-04-10,US.VRSK,US.DXCM,-1.4,-0.722,-0.247,2.268,1.098,0.015,0.769,19.414
2015-04-13,US.VRSK,US.NFLX,-0.221,19.531,0.545,19.255,1.689,24.283,-0.758,37.893
2015-04-21,US.AMZN,US.PANW,9.747,-0.706,7.672,-4.755,7.805,2.565,21.55,23.12
2015-04-22,US.VRSK,US.TSLA,6.308,5.929,0.277,5.008,1.162,11.352,4.288,25.164
2015-05-21,US.EA,US.TMUS,0.104,7.255,0.335,11.007,5.2,8.028,17.563,15.862
2015-07-07,US.QCOM,US.XEL,1.815,-1.033,3.726,-2.184,1.035,0.767,-13.722,5.503
2015-07-13,US.QCOM,US.AMZN,0.568,7.141,-2.286,16.647,-0.441,15.021,-10.461,17.98
2015-07-14,US.QCOM,US.GOOG,1.877,18.036,-1.314,11.923,-2.174,17.765,-10.718,14.482
2015-07-16,US.QCOM,US.GOOG,-4.291,11.111,-0.217,9.095,-3.904,13.21,-9.734,10.996
2015-07-17,US.QCOM,US.META,-4.196,2.085,0.078,-1.011,-3.777,-0.579,-9.424,-0.748
2015-07-20,US.QCOM,US.AAPL,-2.837,-7.042,1.003,-10.32,-2.696,-10.888,-9.085,-14.972
2015-07-23,US.QCOM,US.PANW,4.257,-6.038,1.716,-11.467,-2.638,-18.504,-2.21,-12.842
2015-07-24,US.QCOM,US.AMZN,4.461,1.271,2.239,-1.284,-6.538,-6.602,-3.313,8.26
2015-07-28,US.QCOM,US.AMGN,0.555,1.193,-0.872,-2.42,-14.612,-15.558,-5.758,-12.708
2015-08-04,US.TMUS,US.BKNG,-0.631,1.86,2.014,0.611,-5.46,-5.345,-4.611,9.387
2015-08-05,US.TMUS,US.BKNG,1.522,-4.181,2.749,-4.43,-3.486,-8.018,-8.002,5.509
2015-08-07,US.TMUS,US.NVDA,2.156,2.437,-0.57,-6.18,-2.825,-4.956,-5.129,25.414
2015-08-10,US.TMUS,US.TXN,1.278,-2.266,-6.607,-13.806,-2.87,-6.509,-6.776,10.453
2015-08-14,US.TMUS,US.ADBE,-2.668,-8.418,-2.983,-7.803,-3.105,-8.895,-6.476,4.273
2015-08-17,US.TMUS,US.ADP,-7.786,-9.941,-5.69,-8.713,-1.643,-6.272,-11.833,3.304
2015-08-18,US.TMUS,US.ROST,-9.301,-16.556,-7.326,-16.112,-1.213,-11.838,-11.037,-14.039
2015-08-19,US.TMUS,US.EXC,-6.928,-8.215,-6.068,-12.653,1.457,-7.826,-9.293,-15.919
2015-10-08,US.COST,US.MDLZ,0.073,-0.732,4.279,3.684,3.04,1.296,5.726,-2.226
2015-10-14,US.COST,US.ON,3.584,-4.097,5.286,2.7,4.641,4.516,3.524,-20.205
