date,day_idx,replacement_type,would_be_victim,would_be_victim_score,would_be_victim_entry_date,would_be_victim_entry_day_idx,would_be_victim_mtm_pnl_at_review,incoming_code,incoming_score,stability_score,actual_exit_reason,actual_exit_pnl,still_held_at_end
2015-11-05,213,FULL_DOWNGRADE_REPLACE,US.VRTX,80.04,2015-10-29,208,-42.6,US.META,100.0,0.07842165438984974,STOP_LOSS,-83.28,False
2016-08-15,407,FULL_DOWNGRADE_REPLACE,US.AMAT,87.4,2016-02-19,284,1537.55,US.MU,100.0,0.45991486604207127,STRAT_EXIT,1816.4,False
2017-02-06,527,FULL_DOWNGRADE_REPLACE,US.MU,80.82,2017-02-01,524,-56.38,US.AMD,100.0,0.07738987446707263,STOP_LOSS,-227.33,False
2018-06-04,860,FULL_DOWNGRADE_REPLACE,US.DXCM,81.92,2018-03-06,798,1546.52,US.GILD,100.0,0.46229696859420805,ATR_TRAIL,2879.94,False
2018-08-24,918,FULL_DOWNGRADE_REPLACE,US.AAPL,81.89,2018-08-16,912,38.28,US.TEAM,100.0,0.1988668335208793,ATR_TRAIL,-46.53,False
2019-04-03,1069,FULL_DOWNGRADE_REPLACE,US.SBUX,82.37,2019-03-28,1065,11.05,US.LIN,100.0,0.13824289989805488,ATR_TRAIL,475.48,False
2019-06-20,1123,FULL_DOWNGRADE_REPLACE,US.TTWO,81.0,2019-06-05,1112,-0.22,US.ADBE,100.0,0.298172339397438,STRAT_EXIT,244.36,False
2019-07-09,1135,FULL_DOWNGRADE_REPLACE,US.SPY,81.2,2019-07-03,1132,-11.63,US.AMZN,100.0,0.10845783232854546,STOP_LOSS,-110.25,False
2023-07-11,2143,FULL_DOWNGRADE_REPLACE,US.FTNT,86.62,2023-07-10,2142,23.46,US.EA,100.0,0.02947855854105523,STRAT_EXIT,20.48,False
