decision,count,mean,median,std,win_rate_pct
ROLLED_BACK,34,0.03734545615656887,0.052197072618401175,0.10860491796904549,67.64705882352942
REPLACE,108,0.009580400020739233,0.001848222386293119,0.1085387625906541,50.92592592592593
KEEP,361,-0.0012363858398438449,0.0013661186278139947,0.0963082760597203,50.41551246537396
