date,victim_code,incoming_code,window_end,still_open_at_backtest_end,replace_return_pct,keep_return_pct,replace_alpha_pct
2015-05-14,US.CTAS,US.ADBE,2015-05-26,False,-0.082,0.817,-0.898
2015-07-07,US.AMAT,US.XEL,2015-07-14,False,-1.033,-1.461,0.428
2015-10-21,US.COST,US.KLAC,2016-01-15,False,0.869,-2.855,3.724
2015-12-01,US.PANW,US.MRVL,2015-12-07,False,-5.0,1.646,-6.646
2016-02-25,US.HON,US.CPRT,2016-03-28,False,6.117,7.786,-1.669
2016-10-21,US.GOOGL,US.MSFT,2016-10-28,False,0.352,-0.546,0.898
2017-07-18,US.TTWO,US.NFLX,2017-08-09,False,-5.0,17.426,-22.426
2017-08-25,US.XEL,US.MRVL,2018-02-06,False,23.062,-12.15,35.212
2018-01-02,US.PEP,US.ON,2018-02-06,False,1.735,-3.812,5.547
2018-11-30,US.CTAS,US.WDAY,2018-12-17,False,-6.244,-11.293,5.049
2019-01-17,US.NFLX,US.FAST,2019-03-20,False,10.015,6.237,3.777
2019-09-04,US.PDD,US.AMAT,2019-10-16,False,4.141,-0.765,4.905
2019-10-11,US.ALGN,US.FAST,2019-12-03,False,-5.0,38.07,-43.07
2019-10-15,US.HON,US.NVDA,2019-11-19,False,5.917,11.192,-5.275
2020-04-17,US.SPY,US.REGN,2020-04-21,False,-5.0,-4.745,-0.255
2020-05-06,US.META,US.MELI,2020-09-17,False,31.157,22.233,8.923
2020-11-04,US.AEP,US.GOOGL,2021-01-11,False,0.598,-11.901,12.499
2021-01-12,US.HON,US.FANG,2021-01-15,False,-5.782,-1.412,-4.369
2021-04-28,US.ORLY,US.MDLZ,2021-07-22,False,5.387,15.141,-9.754
2022-03-29,US.NVDA,US.EXC,2022-06-02,False,5.0,-31.63,36.631
2022-03-29,US.AAPL,US.TXN,2022-03-31,False,-3.942,-2.431,-1.511
2022-04-07,US.VRTX,US.COST,2022-04-22,False,-5.978,-1.961,-4.017
2022-05-27,US.AMGN,US.CEG,2022-05-31,False,-6.787,0.58,-7.367
2022-05-27,US.GILD,US.KLAC,2022-06-01,False,-5.0,-0.046,-4.954
2023-03-16,US.CDNS,US.GOOG,2023-07-19,False,21.48,16.683,4.797
2025-04-29,US.TTWO,US.OKTA,2025-05-28,False,-6.5,-1.032,-5.468
2025-05-01,US.FTNT,US.MSFT,2025-09-22,False,21.354,-18.424,39.779
2025-06-11,US.INTU,US.SBUX,2025-06-24,False,-5.0,-0.748,-4.252
