date,victim_code,incoming_code,victim_ret_5d_pct,candidate_ret_5d_pct,victim_ret_10d_pct,candidate_ret_10d_pct,victim_ret_20d_pct,candidate_ret_20d_pct,victim_ret_60d_pct,candidate_ret_60d_pct
2015-03-20,US.FTNT,US.ADI,-2.067,-3.652,-2.577,2.8,-1.926,4.339,20.292,9.761
2015-04-10,US.WDAY,US.ISRG,-4.882,1.95,-0.192,-4.608,0.913,-6.795,-12.458,-9.218
2015-04-13,US.VRSK,US.ISRG,-0.221,1.968,0.545,-7.706,1.689,-8.471,-0.758,-11.739
2015-04-21,US.MELI,US.PCAR,2.402,0.281,8.938,-2.485,6.302,-1.506,-0.618,-1.506
2015-04-22,US.MELI,US.TSLA,3.575,5.929,7.585,5.008,6.563,11.352,-0.598,25.164
2015-04-24,US.MELI,US.MSFT,5.724,1.64,6.656,-0.251,7.274,-1.39,-2.006,-0.591
2015-04-27,US.MELI,US.TSLA,11.268,-0.449,6.818,3.429,6.496,6.869,-1.408,15.686
2015-04-29,US.MELI,US.VRSK,3.871,-5.673,1.179,-4.723,2.465,-4.802,-8.04,-3.123
2015-05-14,US.CTAS,US.ADBE,1.322,1.423,1.146,-0.428,1.099,0.541,3.789,5.275
2015-05-20,US.CTAS,US.ADI,-0.035,3.84,-1.135,1.757,0.185,3.825,2.526,-10.556
2015-05-22,US.CTAS,US.INTU,0.389,-0.323,-0.953,-2.117,1.779,-1.18,3.314,-0.735
2015-05-27,US.CTAS,US.AVGO,0.064,1.139,0.261,0.994,0.47,-0.816,0.517,-18.954
2015-06-17,US.PANW,US.DXCM,-0.83,2.841,-2.491,6.403,5.215,11.605,-1.799,29.932
2015-06-18,US.PANW,US.DXCM,-2.22,0.465,-4.91,2.532,4.577,8.256,-1.826,23.682
2015-06-22,US.PANW,US.ADBE,-6.624,-1.215,-6.808,-2.054,4.363,-1.325,-0.81,-2.127
2015-06-23,US.PANW,US.META,-3.974,-2.407,-5.194,-2.538,5.755,10.423,1.292,7.351
2015-06-26,US.PANW,US.DXCM,0.034,0.138,3.349,3.028,6.294,2.638,2.756,22.425
2015-07-01,US.AMAT,US.CMCSA,-5.074,-0.386,-8.406,3.325,-9.944,0.177,-24.725,-9.173
2015-07-07,US.AMAT,US.XEL,-1.461,-1.033,-6.99,-2.184,-12.207,0.767,-22.917,5.503
2015-07-13,US.AMAT,US.AMZN,-7.975,7.141,-9.995,16.647,-8.856,15.021,-20.611,17.98
2015-07-14,US.AMAT,US.GOOG,-5.611,18.036,-6.723,11.923,-8.205,17.765,-18.047,14.482
2015-07-16,US.PANW,US.INTU,3.699,-0.786,-2.562,-2.183,-9.102,-2.96,-9.565,-13.962
2015-07-17,US.PANW,US.META,2.944,2.085,-2.834,-1.011,-9.26,-0.579,-12.256,-0.748
2015-07-20,US.PANW,US.AAPL,-1.968,-7.042,-2.694,-10.32,-7.504,-10.888,-12.051,-14.972
2015-07-22,US.PANW,US.MNST,-4.548,2.347,-1.107,4.16,-9.501,-0.406,-11.299,-11.694
2015-07-24,US.PANW,US.AMZN,-5.613,1.271,-10.849,-1.284,-19.245,-6.602,-14.689,8.26
2015-07-28,US.PANW,US.CDNS,-0.712,0.722,-6.905,2.694,-15.217,-9.812,-14.462,1.01
2015-08-04,US.PANW,US.BKNG,-6.237,1.86,-6.388,0.611,-12.749,-5.345,-11.671,9.387
2015-08-05,US.PANW,US.BKNG,-10.128,-4.181,-8.488,-4.43,-14.022,-8.018,-17.013,5.509
2015-08-10,US.EA,US.TXN,-0.365,-2.266,-13.884,-13.806,-7.395,-6.509,-2.798,10.453
2015-08-13,US.EA,US.ORLY,-7.727,-1.024,-8.476,-4.316,-6.092,-3.178,-1.363,7.644
2015-08-14,US.EA,US.ADBE,-10.011,-8.418,-6.743,-7.803,-6.138,-8.895,-2.582,4.273
2015-08-17,US.EA,US.ADP,-13.569,-9.941,-10.244,-8.713,-5.862,-6.272,-3.894,3.304
2015-08-18,US.EA,US.ROST,-13.961,-16.556,-14.11,-16.112,-4.834,-11.838,-3.453,-14.039
2015-08-19,US.EA,US.EXC,-7.359,-8.215,-9.691,-12.653,-0.768,-7.826,0.07,-15.919
2015-10-05,US.COST,US.ADP,3.755,3.603,3.478,5.562,7.483,5.187,10.171,5.095
2015-10-08,US.COST,US.MDLZ,0.073,-0.732,4.279,3.684,3.04,1.296,5.726,-2.226
2015-10-14,US.COST,US.ON,3.584,-4.097,5.286,2.7,4.641,4.516,3.524,-20.205
2015-10-15,US.COST,US.TTWO,4.204,2.728,4.289,3.982,3.053,3.575,3.089,5.425
2015-10-16,US.COST,US.ADBE,2.42,-0.913,3.985,-0.011,1.32,0.395,0.298,-0.417
2015-10-19,US.COST,US.BKNG,2.291,2.921,3.87,6.617,2.372,-7.94,0.232,-18.512
2015-10-21,US.COST,US.KLAC,1.643,2.903,1.25,4.522,4.16,5.784,-2.803,1.339
2015-10-22,US.COST,US.TXN,0.082,-1.979,-1.189,-0.541,3.225,0.412,-5.656,-15.079
2015-10-23,US.COST,US.ON,1.528,-4.181,1.162,1.045,4.997,-11.498,-3.192,-26.916
2015-10-26,US.COST,US.BKNG,1.544,3.592,-1.002,-7.426,4.557,-10.732,-1.686,-21.055
2015-10-27,US.COST,US.REGN,0.659,1.798,-0.599,-0.516,3.074,-0.056,-4.177,-16.673
2015-10-29,US.COST,US.VRTX,-1.27,-3.376,-1.186,-7.03,3.616,5.461,-6.424,-26.686
2015-11-02,US.COST,US.FAST,-2.507,0.82,-1.442,-2.683,1.607,1.665,-4.8,1.572
