date,victim_code,incoming_code,victim_ret_5d_pct,candidate_ret_5d_pct,victim_ret_10d_pct,candidate_ret_10d_pct,victim_ret_20d_pct,candidate_ret_20d_pct,victim_ret_60d_pct,candidate_ret_60d_pct
2016-03-01,US.ISRG,US.FAST,-0.81,-0.278,2.784,0.749,4.688,4.775,12.52,-0.976
2016-03-03,US.ISRG,US.VRSK,-0.059,-0.538,-2.036,1.366,5.655,5.305,10.907,4.084
2017-02-01,US.IDXX,US.MU,14.91,-2.182,15.423,-6.99,18.974,-0.202,36.588,11.798
2017-06-21,US.FTNT,US.AMD,0.0,-5.365,0.663,-6.867,7.898,-1.288,2.465,-10.443
2018-03-09,US.NFLX,US.IDXX,-3.919,0.768,-9.202,-6.33,-12.524,-7.895,10.367,7.029
2019-01-18,US.MRVL,US.SNPS,8.768,0.175,10.012,6.635,14.396,11.335,42.662,27.588
2019-03-28,US.ADP,US.SBUX,0.612,0.527,2.084,2.582,3.366,4.719,6.438,13.626
2019-09-10,US.ASML,US.ON,2.782,0.924,2.042,-3.441,0.177,-12.07,12.583,9.861
2019-10-21,US.ALGN,US.VRTX,19.225,5.716,23.2,8.658,27.838,14.423,35.703,28.317
2020-07-02,US.CDNS,US.FAST,3.22,-2.293,2.464,0.363,11.685,7.399,7.596,4.499
2020-07-17,US.CDNS,US.MNST,2.355,0.889,8.999,5.74,7.752,12.261,15.295,11.533
2020-08-12,US.CDNS,US.QCOM,1.165,-4.102,5.024,0.216,-4.717,-2.373,15.651,26.253
2022-03-29,US.REGN,US.BKNG,-0.997,-3.116,2.486,-8.033,-3.568,-4.763,-12.305,-18.587
2022-07-19,US.SNOW,US.NXPI,-11.157,2.365,4.718,5.891,14.263,9.048,8.241,-17.241
2022-07-20,US.TXN,US.NXPI,3.756,2.799,11.703,5.139,7.587,2.119,-6.032,-18.431
2022-10-24,US.DXCM,US.VRTX,22.037,0.483,16.53,-2.341,13.832,1.836,8.983,-0.213
2023-10-12,US.VRTX,US.FANG,-0.87,4.04,-1.826,-0.394,0.155,-4.176,14.405,-3.878
2023-10-13,US.VRTX,US.FANG,-2.464,-0.054,-4.237,-3.914,0.714,-5.319,14.221,-7.166
2023-11-15,US.LIN,US.NXPI,2.202,-0.583,2.736,1.659,2.045,16.441,3.671,16.135
2023-11-16,US.LIN,US.ISRG,1.428,4.626,1.122,3.701,0.061,6.712,2.768,25.6
2023-11-20,US.LIN,US.PLTR,0.603,-7.638,-0.747,-14.246,1.248,-15.886,6.048,14.527
2023-11-22,US.LIN,US.ARM,0.522,-0.421,-2.852,1.101,-0.298,15.285,7.094,99.79
2024-03-13,US.BKR,US.MNST,5.165,-1.167,4.22,-2.712,7.055,-10.058,0.313,-13.41
2025-09-08,US.ORLY,US.ASML,-0.099,8.923,-2.773,20.289,-2.914,31.027,-6.165,39.497
2025-10-20,US.ORLY,US.ON,-5.13,-4.026,-9.181,-8.071,-1.396,-16.16,-7.26,9.82
