date,victim_code,incoming_code,victim_ret_5d_pct,candidate_ret_5d_pct,victim_ret_10d_pct,candidate_ret_10d_pct,victim_ret_20d_pct,candidate_ret_20d_pct,victim_ret_60d_pct,candidate_ret_60d_pct
2015-05-14,US.EA,US.HON,-0.634,0.451,-0.531,-1.782,-0.539,-1.937,17.245,1.422
2015-05-21,US.CTAS,US.TMUS,-0.174,7.255,-0.904,11.007,0.649,8.028,3.363,15.862
2015-08-10,US.XEL,US.TXN,3.005,-2.266,-2.404,-13.806,-5.323,-6.509,3.72,10.453
2015-10-09,US.XEL,US.COST,3.318,-1.241,3.347,1.15,-1.134,2.325,4.289,3.176
2015-10-14,US.XEL,US.ON,1.639,-4.097,0.139,2.7,0.167,4.516,2.258,-20.205
2015-10-16,US.XEL,US.ADBE,0.027,-0.913,-2.196,-0.011,-3.898,0.395,0.026,-0.417
2015-10-19,US.XEL,US.BKNG,1.434,2.921,-1.131,6.617,-1.848,-7.94,2.164,-18.512
2015-11-18,US.NFLX,US.VRTX,2.926,-0.968,5.123,-8.405,1.558,-11.496,-21.446,-33.776
2016-02-19,US.HON,US.AMAT,-3.721,3.932,1.523,6.066,5.568,12.083,8.374,8.582
2016-02-22,US.HON,US.QCOM,-3.375,-0.026,3.03,4.915,8.482,2.769,10.096,2.336
2016-03-01,US.PAYX,US.FAST,-1.083,-0.278,0.988,0.749,1.293,4.775,2.841,-0.976
2016-03-03,US.PAYX,US.VRSK,-1.106,-0.538,3.394,1.366,3.279,5.305,4.423,4.084
2016-03-11,US.PCAR,US.AMAT,4.888,2.271,2.095,0.824,-0.02,4.517,7.356,21.168
2016-03-14,US.XEL,US.ISRG,1.559,-1.7,3.068,1.686,1.41,5.47,4.33,8.399
2016-03-17,US.EXC,US.PAYX,1.173,-0.443,2.199,-0.111,-1.584,-2.508,-0.576,0.81
2016-03-18,US.EXC,US.ADBE,0.94,-1.092,1.969,1.156,-1.205,3.35,-2.002,3.811
2016-03-29,US.EXC,US.LRCX,-3.125,-0.319,-1.749,-0.69,-3.068,-2.159,-2.713,5.137
2016-03-30,US.EXC,US.TXN,-3.235,-0.017,-1.935,1.371,-0.231,2.655,-0.466,9.138
2016-04-01,US.EXC,US.SNPS,-2.755,-2.11,-3.702,-1.826,-1.636,-3.571,-2.166,4.16
2016-04-04,US.EXC,US.ISRG,-2.795,-0.299,-3.112,0.791,-1.21,1.817,-0.899,2.661
2016-04-05,US.EXC,US.MRVL,1.421,-2.022,0.592,-9.926,0.533,-11.305,2.487,-12.725
2016-04-06,US.EXC,US.REGN,1.343,-3.904,-1.433,-6.426,2.836,-15.581,7.109,-18.251
2016-04-08,US.EXC,US.PEP,-0.974,-1.247,-1.8,-2.95,2.892,-0.114,5.43,2.034
2016-04-13,US.EXC,US.AMZN,-2.739,2.955,1.738,-1.342,2.657,16.006,4.946,21.305
2016-04-20,US.EXC,US.ISRG,4.603,-1.792,4.331,-4.563,0.995,-3.002,9.063,4.006
2016-04-22,US.EXC,US.AMD,3.005,-11.028,4.778,-7.769,1.48,-3.008,8.484,35.589
2016-04-26,US.EXC,US.PCAR,0.473,-1.9,1.716,-2.343,-0.947,-8.044,6.425,-7.081
2016-04-27,US.EXC,US.PCAR,-0.261,-7.531,0.904,-5.709,-3.362,-7.853,6.952,-8.672
2016-05-13,US.CPRT,US.NVDA,1.638,8.175,14.369,12.297,14.393,14.474,17.997,44.077
2016-05-20,US.CPRT,US.CDNS,12.526,2.037,12.871,1.344,13.148,-0.285,16.832,-0.733
2016-05-24,US.CPRT,US.SNPS,12.054,1.563,12.826,4.416,10.851,3.83,18.207,14.302
2016-05-25,US.CPRT,US.AAPL,12.614,-1.907,13.821,0.03,12.546,-3.533,18.784,10.372
2016-05-26,US.CPRT,US.FANG,1.413,-1.967,1.849,-2.808,-1.018,-5.058,9.703,5.004
2016-05-27,US.CPRT,US.LRCX,0.307,-0.444,0.02,-0.874,-4.931,-3.43,8.349,14.187
2016-05-31,US.CPRT,US.VRTX,-0.343,1.739,-1.575,-1.911,-5.615,-10.424,6.443,3.822
2016-06-02,US.CPRT,US.DXCM,1.072,7.436,-1.254,7.17,-0.91,17.283,4.286,35.497
2016-06-03,US.CPRT,US.AVGO,0.43,-1.094,-0.451,-3.816,1.086,-4.939,5.9,9.685
2016-06-06,US.CPRT,US.BKNG,-0.286,-2.493,0.245,-0.529,0.775,-5.49,4.325,5.0
2016-06-08,US.CPRT,US.DXCM,-1.73,-0.532,-1.751,5.659,-1.549,6.64,3.078,25.566
2016-06-09,US.CPRT,US.AEP,-2.3,-0.129,-1.12,-0.595,-0.28,6.027,3.381,-1.892
2016-06-17,US.CPRT,US.AMD,-1.955,-7.224,1.544,-3.612,1.996,4.753,2.387,9.125
2016-06-20,US.CPRT,US.DXCM,-5.454,-1.722,0.529,2.343,0.651,7.509,1.201,20.08
2016-06-23,US.CPRT,US.MU,-0.85,-2.064,0.85,-10.178,1.892,-6.548,2.65,20.641
2016-06-30,US.CPRT,US.ADP,1.714,2.83,1.816,3.472,2.918,-3.178,9.467,-3.436
2016-07-07,US.CPRT,US.COST,2.003,1.979,1.676,2.046,2.657,1.741,9.462,-6.585
2016-07-08,US.CPRT,US.ROST,0.1,0.0,1.033,3.075,2.307,6.322,8.044,10.674
2016-07-18,US.CPRT,US.GOOGL,2.563,0.574,3.531,6.338,2.583,7.005,8.253,7.484
