date,victim_code,incoming_code,window_end,still_open_at_backtest_end,replace_return_pct,keep_return_pct,replace_alpha_pct
2015-03-20,US.FTNT,US.ADI,2015-03-25,False,-5.748,-6.259,0.511
2015-04-10,US.WDAY,US.ISRG,2015-04-27,False,-5.626,-1.048,-4.578
2015-04-10,US.VRSK,US.DXCM,2015-08-24,False,21.68,-1.757,23.437
2015-04-16,US.GILD,US.NFLX,2015-08-24,False,20.664,-2.245,22.91
2015-04-21,US.MELI,US.PCAR,2015-04-29,False,-0.719,4.399,-5.118
2015-04-21,US.AMZN,US.PANW,2015-05-01,False,-2.3,8.101,-10.401
2015-05-14,US.CTAS,US.ADBE,2015-05-26,False,-0.082,0.817,-0.898
2015-05-20,US.EA,US.ADI,2015-07-07,False,-5.0,12.291,-17.291
2015-05-22,US.CTAS,US.INTU,2015-06-29,False,-5.377,-2.046,-3.33
2015-05-27,US.PANW,US.AVGO,2015-06-29,False,-6.605,6.972,-13.576
2015-07-07,US.AMAT,US.AEP,2015-07-14,False,-1.74,-1.461,-0.279
2015-07-07,US.QCOM,US.XEL,2015-07-14,False,-1.033,1.815,-2.848
2015-08-13,US.XEL,US.ORLY,2015-08-21,False,-6.203,0.0,-6.203
2015-10-08,US.COST,US.MDLZ,2015-10-15,False,-0.732,0.073,-0.805
2015-10-21,US.XEL,US.KLAC,2016-01-15,False,0.869,0.691,0.178
2015-10-22,US.AEP,US.TXN,2015-12-18,False,-5.0,-4.285,-0.715
2015-11-20,US.NFLX,US.INTU,2015-11-24,False,-5.0,-0.428,-4.572
2016-02-25,US.HON,US.CPRT,2016-03-28,False,6.117,7.786,-1.669
2016-03-01,US.CSCO,US.WDAY,2016-05-27,False,5.98,8.776,-2.796
2016-03-04,US.PAYX,US.AVGO,2016-05-06,False,-3.831,-0.475,-3.357
2016-03-14,US.PCAR,US.AMD,2016-03-15,False,-8.456,-0.606,-7.849
2016-03-17,US.XEL,US.FAST,2016-04-06,False,-5.0,-1.566,-3.434
2016-03-29,US.META,US.ON,2016-04-12,False,-5.0,-4.761,-0.239
2016-04-13,US.NFLX,US.MELI,2016-10-13,False,34.423,-8.591,43.014
