date,victim_code,incoming_code,victim_ret_5d_pct,candidate_ret_5d_pct,victim_ret_10d_pct,candidate_ret_10d_pct,victim_ret_20d_pct,candidate_ret_20d_pct,victim_ret_60d_pct,candidate_ret_60d_pct
2015-03-20,US.FTNT,US.ADI,-2.067,-3.652,-2.577,2.8,-1.926,4.339,20.292,9.761
2015-04-10,US.WDAY,US.ISRG,-4.882,1.95,-0.192,-4.608,0.913,-6.795,-12.458,-9.218
2015-04-13,US.VRSK,US.ISRG,-0.221,1.968,0.545,-7.706,1.689,-8.471,-0.758,-11.739
2015-04-21,US.MELI,US.PCAR,2.402,0.281,8.938,-2.485,6.302,-1.506,-0.618,-1.506
2015-04-22,US.MELI,US.TSLA,3.575,5.929,7.585,5.008,6.563,11.352,-0.598,25.164
2015-04-24,US.MELI,US.MSFT,5.724,1.64,6.656,-0.251,7.274,-1.39,-2.006,-0.591
2015-04-27,US.MELI,US.TSLA,11.268,-0.449,6.818,3.429,6.496,6.869,-1.408,15.686
2015-04-29,US.MELI,US.VRSK,3.871,-5.673,1.179,-4.723,2.465,-4.802,-8.04,-3.123
2015-05-14,US.MELI,US.HON,1.512,0.451,-1.131,-1.782,-2.132,-1.937,-15.699,1.422
2015-05-20,US.MELI,US.ADI,-0.408,3.84,-2.59,1.757,-1.115,3.825,-18.537,-10.556
2015-05-21,US.MELI,US.TMUS,-2.604,7.255,-2.731,11.007,-1.242,8.028,-18.661,15.862
2015-05-22,US.MELI,US.INTU,-2.577,-0.323,-3.255,-2.117,-0.515,-1.18,-19.982,-0.735
2015-05-27,US.PANW,US.AVGO,5.316,1.139,8.727,0.994,11.509,-0.816,-0.019,-18.954
2015-06-17,US.PANW,US.DXCM,-0.83,2.841,-2.491,6.403,5.215,11.605,-1.799,29.932
2015-06-18,US.PANW,US.DXCM,-2.22,0.465,-4.91,2.532,4.577,8.256,-1.826,23.682
2015-06-22,US.PANW,US.ADBE,-6.624,-1.215,-6.808,-2.054,4.363,-1.325,-0.81,-2.127
2015-06-23,US.PANW,US.META,-3.974,-2.407,-5.194,-2.538,5.755,10.423,1.292,7.351
2015-06-26,US.PANW,US.DXCM,0.034,0.138,3.349,3.028,6.294,2.638,2.756,22.425
2015-07-01,US.AMAT,US.CMCSA,-5.074,-0.386,-8.406,3.325,-9.944,0.177,-24.725,-9.173
2015-07-13,US.PANW,US.AMZN,4.914,7.141,2.849,16.647,-2.302,15.021,-3.87,17.98
2015-07-14,US.PANW,US.AMZN,4.244,4.818,1.4,12.986,-5.601,13.293,-5.031,16.404
2015-07-16,US.PANW,US.INTU,3.699,-0.786,-2.562,-2.183,-9.102,-2.96,-9.565,-13.962
2015-07-17,US.PANW,US.META,2.944,2.085,-2.834,-1.011,-9.26,-0.579,-12.256,-0.748
2015-07-20,US.PANW,US.AAPL,-1.968,-7.042,-2.694,-10.32,-7.504,-10.888,-12.051,-14.972
2015-07-22,US.PANW,US.MNST,-4.548,2.347,-1.107,4.16,-9.501,-0.406,-11.299,-11.694
2015-07-24,US.PANW,US.AMZN,-5.613,1.271,-10.849,-1.284,-19.245,-6.602,-14.689,8.26
2015-07-28,US.PANW,US.AMGN,-0.712,1.193,-6.905,-2.42,-15.217,-15.558,-14.462,-12.708
2015-07-31,US.PANW,US.TMUS,-5.548,-0.738,-6.614,1.402,-9.595,-1.623,-17.069,1.771
2015-08-04,US.PANW,US.BKNG,-6.237,1.86,-6.388,0.611,-12.749,-5.345,-11.671,9.387
2015-08-05,US.PANW,US.BKNG,-10.128,-4.181,-8.488,-4.43,-14.022,-8.018,-17.013,5.509
2015-08-10,US.EA,US.TXN,-0.365,-2.266,-13.884,-13.806,-7.395,-6.509,-2.798,10.453
2015-08-13,US.EA,US.ORLY,-7.727,-1.024,-8.476,-4.316,-6.092,-3.178,-1.363,7.644
2015-08-14,US.EA,US.ADBE,-10.011,-8.418,-6.743,-7.803,-6.138,-8.895,-2.582,4.273
2015-08-17,US.EA,US.ADP,-13.569,-9.941,-10.244,-8.713,-5.862,-6.272,-3.894,3.304
2015-08-18,US.EA,US.ROST,-13.961,-16.556,-14.11,-16.112,-4.834,-11.838,-3.453,-14.039
2015-08-19,US.EA,US.EXC,-7.359,-8.215,-9.691,-12.653,-0.768,-7.826,0.07,-15.919
2015-10-08,US.COST,US.MDLZ,0.073,-0.732,4.279,3.684,3.04,1.296,5.726,-2.226
2015-10-14,US.COST,US.ON,3.584,-4.097,5.286,2.7,4.641,4.516,3.524,-20.205
2015-10-15,US.COST,US.TTWO,4.204,2.728,4.289,3.982,3.053,3.575,3.089,5.425
2015-10-16,US.COST,US.ADBE,2.42,-0.913,3.985,-0.011,1.32,0.395,0.298,-0.417
2015-10-19,US.COST,US.BKNG,2.291,2.921,3.87,6.617,2.372,-7.94,0.232,-18.512
2015-10-22,US.XEL,US.TXN,-4.308,-1.979,-2.773,-0.541,-3.823,0.412,-0.501,-15.079
2015-10-23,US.XEL,US.ON,-2.223,-4.181,-4.336,1.045,-1.592,-11.498,0.053,-26.916
2015-10-26,US.XEL,US.BKNG,-2.529,3.592,-4.812,-7.426,-3.29,-10.732,0.5,-21.055
2015-10-27,US.XEL,US.REGN,-2.26,1.798,-3.105,-0.516,-2.696,-0.056,0.39,-16.673
2015-10-29,US.XEL,US.ORLY,1.604,-0.895,-0.647,-3.28,0.281,-2.845,4.149,-10.701
2015-11-02,US.XEL,US.FAST,-2.343,0.82,-0.725,-2.683,0.335,1.665,7.583,1.572
2015-11-03,US.XEL,US.AMD,-0.864,-11.404,-1.867,-13.158,-1.867,-0.439,8.419,-6.14
