date,victim_code,incoming_code,window_end,still_open_at_backtest_end,replace_return_pct,keep_return_pct,replace_alpha_pct
2015-03-20,US.FTNT,US.ADI,2015-03-25,False,-5.748,-6.259,0.511
2015-04-10,US.WDAY,US.ISRG,2015-04-27,False,-5.626,-1.048,-4.578
2015-04-10,US.VRSK,US.DXCM,2015-08-24,False,21.68,-1.757,23.437
2015-04-16,US.GILD,US.NFLX,2015-08-24,False,20.664,-2.245,22.91
2015-04-21,US.MELI,US.PCAR,2015-04-29,False,-0.719,4.399,-5.118
2015-04-21,US.AMZN,US.PANW,2015-05-01,False,-2.3,8.101,-10.401
2015-05-14,US.CTAS,US.ADBE,2015-05-26,False,-0.082,0.817,-0.898
2015-05-20,US.EA,US.ADI,2015-07-07,False,-5.0,12.291,-17.291
2015-05-21,US.CTAS,US.TMUS,2015-10-29,False,1.922,7.073,-5.151
2015-05-27,US.PANW,US.NXPI,2015-06-08,False,-6.214,7.575,-13.79
2015-06-10,US.TXN,US.GILD,2015-07-22,False,0.166,-9.024,9.19
2015-07-01,US.AMAT,US.CMCSA,2015-08-06,False,-5.606,-13.634,8.028
2015-07-07,US.QCOM,US.AEP,2015-07-14,False,-1.74,1.815,-3.555
2015-08-05,US.IDXX,US.BKNG,2015-08-12,False,-5.0,2.676,-7.676
2015-08-13,US.AEP,US.ORLY,2015-08-21,False,-6.203,-0.494,-5.709
2015-10-08,US.COST,US.MDLZ,2015-10-15,False,-0.732,0.073,-0.805
2015-10-09,US.XEL,US.COST,2015-11-06,False,2.325,-1.134,3.46
2015-10-21,US.AEP,US.KLAC,2016-01-15,False,0.869,0.624,0.245
2015-11-20,US.NFLX,US.INTU,2015-11-24,False,-5.0,-0.428,-4.572
2015-12-22,US.HON,US.AMD,2016-01-04,False,-5.0,-1.672,-3.328
2016-02-19,US.HON,US.AMAT,2016-10-31,False,60.319,4.256,56.063
2016-02-25,US.CSCO,US.CPRT,2016-03-28,False,6.117,4.887,1.23
2016-03-01,US.PAYX,US.WDAY,2016-05-27,False,5.98,4.106,1.874
2016-03-04,US.PCAR,US.AVGO,2016-05-06,False,-3.831,4.172,-8.003
