date,day_idx,replacement_type,would_be_victim,would_be_victim_score,would_be_victim_entry_date,would_be_victim_entry_day_idx,would_be_victim_mtm_pnl_at_review,incoming_code,incoming_score,stability_score,final_pnl,foregone_gain_from_review_point,still_held_at_end
2019-01-17,11,OBSERVATION_EVICT,US.NFLX,40.9,2019-01-04,2,417.15,US.FAST,100.0,,506.66,89.51000000000005,False
2019-01-17,11,LOW_PARTIAL_EVICT,US.PDD,60.17,2019-01-08,4,99.9,US.FAST,100.0,0.060714364122852464,-154.19,-254.09,False
2019-04-01,61,FULL_DOWNGRADE_REPLACE,US.AEP,81.79,2019-03-22,55,-66.94,US.SNPS,100.0,0.20338900350046352,-34.04,32.9,False
2019-04-11,69,OBSERVATION_EVICT,US.BKR,51.35,2019-01-07,3,255.54,US.FAST,100.0,,89.9,-165.64,False
2019-05-01,82,OBSERVATION_EVICT,US.MRVL,55.21,2019-01-09,5,398.45,US.MDLZ,100.0,,260.2,-138.25,False
2019-05-16,93,OBSERVATION_EVICT,US.SBUX,59.28,2019-01-22,13,169.81,US.LIN,100.0,,296.62,126.81,False
2019-06-07,108,LOW_PARTIAL_EVICT,US.CTAS,62.06,2019-05-21,96,77.08,US.MNST,100.0,0.2924071205868046,435.28,358.2,False
2019-06-10,109,FULL_DOWNGRADE_REPLACE,US.TTWO,81.0,2019-06-05,106,6.67,US.DXCM,100.0,0.08131972892657398,322.11,315.44,False
2019-07-10,130,OBSERVATION_EVICT,US.AMZN,47.66,2019-07-08,128,19.53,US.META,87.29,,5.86,-13.670000000000002,False
2019-07-15,133,FULL_DOWNGRADE_REPLACE,US.COST,85.75,2019-07-12,132,10.35,US.TSLA,100.0,0.036361553201392983,-132.57,-142.92,False
2019-09-03,168,OBSERVATION_EVICT,US.PDD,40.17,2019-08-13,154,359.86,US.AEP,94.56,,288.37,-71.49000000000001,False
2019-09-03,168,LOW_PARTIAL_EVICT,US.DXCM,60.31,2019-08-16,157,152.29,US.AEP,94.56,0.18270899312457817,-327.58,-479.87,False
2019-10-11,196,LOW_PARTIAL_EVICT,US.KLAC,65.02,2019-08-29,166,201.88,US.FAST,100.0,0.43283770987472225,407.64,205.76,False
2019-11-22,226,OBSERVATION_EVICT,US.ALGN,44.18,2019-10-09,194,340.76,US.REGN,86.9,,285.76,-55.0,False
2019-11-22,226,LOW_PARTIAL_EVICT,US.AMGN,68.59,2019-10-31,210,263.25,US.REGN,86.9,0.42709431073914084,173.79,-89.46000000000001,False
2019-12-12,239,LOW_PARTIAL_EVICT,US.MDLZ,67.55,2019-12-05,234,-46.97,US.MU,100.0,0.14091870044919808,-35.22,11.75,False
2019-12-16,241,FULL_DOWNGRADE_REPLACE,US.MNST,86.27,2019-12-10,237,46.55,US.TSLA,100.0,0.1350052781947934,102.9,56.35000000000001,False
2020-04-14,322,OBSERVATION_EVICT,US.SPY,44.87,2020-04-09,320,30.75,US.CDNS,94.95,,31.72,0.9699999999999989,False
2020-04-17,325,FULL_DOWNGRADE_REPLACE,US.NFLX,80.6,2020-04-13,321,291.26,US.REGN,100.0,0.06298936533401268,1036.4,745.1400000000001,False
2020-04-28,332,OBSERVATION_EVICT,US.META,41.8,2020-04-22,328,2.5,US.CPRT,90.2,,276.94,274.44,False
2020-04-28,332,LOW_PARTIAL_EVICT,US.TTD,60.54,2020-04-23,329,10.72,US.CPRT,90.2,0.00023558658646389264,1400.45,1389.73,False
2020-05-05,337,LOW_PARTIAL_EVICT,US.AAPL,60.33,2020-04-30,334,33.58,US.TEAM,80.99,0.05123274150658888,1497.86,1464.28,False
2020-10-08,446,OBSERVATION_EVICT,US.AEP,40.66,2020-09-30,440,138.06,US.ON,100.0,,23.7,-114.36,False
2020-10-08,446,FULL_DOWNGRADE_REPLACE,US.REGN,80.52,2020-10-05,443,-36.1,US.ON,100.0,0.06680213815907124,-214.03,-177.93,False
2020-11-04,465,OBSERVATION_EVICT,US.PDD,40.18,2020-11-03,464,112.86,US.GOOGL,100.0,,357.68,244.82,False
2020-11-18,475,FULL_DOWNGRADE_REPLACE,US.ADP,83.29,2020-10-28,460,526.57,US.TSLA,100.0,0.42778936110179056,240.87,-285.70000000000005,False
2021-01-19,515,FULL_DOWNGRADE_REPLACE,US.ASML,83.68,2021-01-04,505,429.62,US.MRVL,100.0,0.3151096177495441,86.77,-342.85,False
2021-03-10,550,OBSERVATION_EVICT,US.ORLY,40.73,2021-03-05,547,21.47,US.FTNT,85.72,,390.93,369.46000000000004,False
2021-03-10,550,LOW_PARTIAL_EVICT,US.KDP,63.88,2021-03-09,549,51.04,US.FTNT,85.72,0.02272457888390879,420.52,369.47999999999996,False
2021-03-22,558,LOW_PARTIAL_EVICT,US.META,61.03,2021-03-19,557,40.8,US.PEP,100.0,0.018236244114392133,423.53,382.72999999999996,False
2021-06-10,614,LOW_PARTIAL_EVICT,US.META,60.48,2021-06-07,611,-53.09,US.ADBE,100.0,0.06755434383020596,-59.57,-6.479999999999997,False
2021-07-02,630,FULL_DOWNGRADE_REPLACE,US.FANG,80.75,2021-07-01,629,-72.66,US.AAPL,100.0,0.01928610005215765,-402.02,-329.36,False
2021-07-13,636,LOW_PARTIAL_EVICT,US.AVGO,63.0,2021-07-12,635,-10.61,US.PEP,100.0,0.02262848136419744,-54.21,-43.6,False
2021-07-22,643,FULL_DOWNGRADE_REPLACE,US.PANW,82.55,2021-07-20,641,-31.56,US.ADBE,100.0,0.060518491106725004,-292.4,-260.84,False
2021-08-12,658,LOW_PARTIAL_EVICT,US.PAYX,69.1,2021-08-11,657,-6.27,US.PLTR,100.0,0.028966218233634124,-164.85,-158.57999999999998,False
2021-10-13,701,OBSERVATION_EVICT,US.COST,45.21,2021-07-20,641,56.64,US.DDOG,95.57,,165.84,109.2,False
2021-12-22,750,LOW_PARTIAL_EVICT,US.MU,66.23,2021-12-21,749,-10.96,US.PAYX,100.0,0.018034973972245967,-180.63,-169.67,False
2022-01-14,766,OBSERVATION_EVICT,US.HON,48.96,2022-01-12,764,-3.37,US.KDP,100.0,,-74.94,-71.57,False
2022-01-14,766,LOW_PARTIAL_EVICT,US.BKR,65.59,2022-01-11,763,100.95,US.KDP,100.0,0.06350652810126892,-277.32,-378.27,False
2022-03-17,808,OBSERVATION_EVICT,US.VRSK,45.15,2022-03-16,807,33.89,US.DXCM,82.44,,-48.34,-82.23,False
2022-03-25,814,OBSERVATION_EVICT,US.NVDA,41.0,2022-03-21,810,42.03,US.EXC,93.08,,-103.15,-145.18,False
