date,code,side,qty,price,pnl,reason,strategy,entry_date,fee,regime_at_entry,replacement_to,replacement_score_delta,replacement_type,replacement_stability_score,holding_days
2015-03-17,US.REGN,SELL,12,448.06920497,-5.38,ATR_TRAIL,atr_breakout,2015-03-16,10.75,,,,,,1
2015-03-18,US.AMGN,SELL,17,117.642047435,-2.0,ATR_TRAIL,atr_breakout,2015-03-16,4.0,,,,,,2
2015-03-23,US.AMGN,SELL,23,120.174854811,-2.76,ATR_TRAIL,atr_breakout,2015-03-18,5.53,,,,,,5
2015-03-25,US.STM,SELL,879,8.037445751,-170.44,ATR_TRAIL,atr_breakout,2015-03-16,14.29,,,,,,9
2015-03-25,US.COHR,SELL,24,17.68,-9.3,ATR_TRAIL,atr_breakout,2015-03-16,0.86,,,,,,9
2015-03-25,US.REGN,SELL,6,450.271019245,-84.88,ATR_TRAIL,atr_breakout,2015-03-17,5.49,,,,,,8
2015-03-26,US.CTAS,SELL,148,18.028274734049997,-143.1,STOP_LOSS,atr_breakout,2015-03-16,5.48,,,,,,10
2015-03-30,US.RSP,SELL,10,67.443323609,17.33,STRAT_EXIT,boll_mr,2015-03-11,1.33,,,,,,19
2015-04-01,US.ORLY,SELL,167,14.337000071,-2.39,ATR_TRAIL,atr_breakout,2015-03-16,4.79,,,,,,16
2015-04-01,US.SLV,SELL,38,16.23,-3.28,STRAT_EXIT,atr_breakout,2015-03-23,1.24,,,,,,9
2015-04-06,US.ADI,SELL,88,49.21252560825,-232.26,STOP_LOSS,atr_breakout,2015-03-30,8.89,,,,,,7
2015-04-06,US.EA,SELL,64,55.432505667,-149.5,STRAT_EXIT,atr_breakout,2015-03-30,7.24,,,,,,7
2015-04-10,US.MDLZ,SELL,23,28.68980668,13.27,ACTIVE_REPLACEMENT,atr_breakout,2015-04-02,1.31,,US.ISRG,59.01,OBSERVATION_EVICT,,8
2015-04-10,US.WDAY,SELL,11,88.7,1.22,ACTIVE_REPLACEMENT,atr_breakout,2015-04-06,1.95,,US.DXCM,50.45,OBSERVATION_EVICT,,4
2015-04-10,US.GLD,SELL,6,115.966,23.28,ACTIVE_REPLACEMENT,boll_mr,2015-03-09,1.37,,US.GE,50.41,OBSERVATION_EVICT,,32
2015-04-13,US.ISRG,SELL,59,58.927709839,-3.48,ATR_TRAIL,atr_breakout,2015-04-10,6.95,,,,,,3
2015-04-14,US.CDNS,SELL,163,18.65,-71.5,STRAT_EXIT,atr_breakout,2015-04-08,6.15,,,,,,6
2015-04-15,US.CAT,SELL,10,62.396406984,-0.62,ATR_TRAIL,atr_breakout,2015-04-14,1.25,,,,,,1
2015-04-15,US.VRSK,SELL,9,69.071406227,2.63,ACTIVE_REPLACEMENT,atr_breakout,2015-04-02,1.24,,US.CCJ,48.86,OBSERVATION_EVICT,,13
2015-04-17,US.PAYX,SELL,131,34.020578861,-256.0,STOP_LOSS,atr_breakout,2015-03-16,9.16,,,,,,32
2015-04-17,US.GE,SELL,20,115.99158990279999,-124.42,STOP_LOSS,atr_breakout,2015-04-10,4.76,,,,,,7
2015-04-21,US.SNPS,SELL,16,47.29,-5.4,STRAT_EXIT,atr_breakout,2015-04-08,1.52,,,,,,13
2015-04-21,US.STX,SELL,21,35.308308854,11.7,ACTIVE_REPLACEMENT,atr_breakout,2015-04-17,1.47,,US.PCAR,52.62,OBSERVATION_EVICT,,4
2015-04-27,US.COHR,SELL,141,18.7,-32.25,STRAT_EXIT,atr_breakout,2015-04-02,5.3,,,,,,25
2015-04-27,US.DXCM,SELL,177,16.89,-17.59,ATR_TRAIL,atr_breakout,2015-04-10,5.99,,,,,,17
2015-04-29,US.PCAR,SELL,82,28.802905733,-19.46,STRAT_EXIT,atr_breakout,2015-04-21,4.74,,,,,,8
2015-04-30,US.INTU,SELL,19,91.775358035,19.2,STRAT_EXIT,atr_breakout,2015-03-16,3.47,,,,,,45
2015-05-06,US.CIEN,SELL,106,20.7575,-118.01,STOP_LOSS,atr_breakout,2015-04-20,4.52,,,,,,16
2015-05-06,US.VRSK,SELL,33,68.919287507,-139.07,STOP_LOSS,atr_breakout,2015-04-29,4.69,,,,,,7
2015-05-07,US.FANG,SELL,66,57.974807174,-80.9,ATR_TRAIL,atr_breakout,2015-03-26,7.73,,,,,,42
2015-05-07,US.CCJ,SELL,162,14.681739486,-2.38,ATR_TRAIL,atr_breakout,2015-04-15,4.76,,,,,,22
2015-05-07,US.COPX,SELL,125,19.327616677,-2.42,ATR_TRAIL,atr_breakout,2015-04-27,4.83,,,,,,10
2015-05-13,US.EA,SELL,10,59.129946959,-0.59,ATR_TRAIL,atr_breakout,2015-05-06,1.18,,,,,,7
2015-05-13,US.ADP,SELL,11,67.262764391,-9.66,STRAT_EXIT,atr_breakout,2015-05-08,1.49,,,,,,5
2015-05-14,US.NXPI,SELL,8,90.452085185,-10.03,ACTIVE_REPLACEMENT,atr_breakout,2015-05-08,1.46,,US.ADBE,48.3,OBSERVATION_EVICT,,6
2015-05-15,US.INTU,SELL,8,93.604827945,-3.82,STRAT_EXIT,atr_breakout,2015-05-08,1.5,,,,,,7
2015-05-19,US.SLV,SELL,215,16.35,-3.52,ATR_TRAIL,atr_breakout,2015-05-13,7.03,,,,,,6
2015-05-19,US.QCOM,SELL,10,50.164291868,-10.88,STRAT_EXIT,atr_breakout,2015-05-15,1.01,,,,,,4
2015-05-20,US.REGN,SELL,1,508.569507122,8.04,ACTIVE_REPLACEMENT,atr_breakout,2015-05-19,1.01,,US.ADI,48.0,OBSERVATION_EVICT,,1
2015-05-22,US.ROK,SELL,6,101.151128006,9.87,ACTIVE_REPLACEMENT,atr_breakout,2015-05-13,1.2,,US.INTU,42.51,OBSERVATION_EVICT,,9
2015-05-26,US.ADBE,SELL,35,79.365,-5.05,STRAT_EXIT,atr_breakout,2015-05-14,5.56,,,,,,12
2015-05-26,US.TTWO,SELL,109,27.189,-158.94,STOP_LOSS,atr_breakout,2015-05-19,6.08,,,,,,7
2015-05-27,US.PANW,SELL,18,26.774732089,-10.05,ACTIVE_REPLACEMENT,atr_breakout,2015-05-26,0.97,,US.AVGO,54.71,OBSERVATION_EVICT,,1
2015-06-04,US.AVGO,SELL,215,10.638795198,-7.11,ATR_TRAIL,atr_breakout,2015-05-27,4.58,,,,,,8
2015-06-08,US.ADI,SELL,47,52.897700074,-2.49,ATR_TRAIL,atr_breakout,2015-05-20,4.97,,,,,,19
2015-06-09,US.TMUS,SELL,77,36.865131772,-2.84,ATR_TRAIL,atr_breakout,2015-05-26,5.68,,,,,,14
