variant,总收益率%,年化收益率%,夏普比率,最大回撤%,卡玛比率,总交易笔数,胜率%,基准QQQ%
V1_locked_default,240.91,11.26,0.891,-20.37,0.553,871,33.0,659.06
V2_state1_half,218.45,10.6,0.88,-19.9,0.533,891,33.3,659.06
