,trades,contribution_%_of_total_pnl,total_pnl,win_rate_%,profit_factor,mean_pct_return_%,trade_sharpe_like,avg_holding_days,avg_confidence,avg_duration_days
Bear,24.0,18.6,20623.47,20.8,16.59,21.54,0.496,52.6,88.7,1.5
Correction,12.0,33.4,37119.17,33.3,44.55,49.02,0.592,125.2,90.5,1.5
Sideways,9.0,-0.9,-1049.61,0.0,0.0,-1.85,-2.875,15.8,90.3,14.0
Bull,11.0,0.3,387.0,27.3,1.64,-0.49,-0.245,22.1,88.7,5.8
N/A (ungated stock),885.0,48.6,54011.69,20.2,1.58,1.93,0.151,35.5,,
