,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,2.39,9.84,-7.46,51193.5,93.0,32.3,0.234,0.286,-11.59,0.207,0.62,0.517,-2.71
2016,8.62,7.22,1.4,55606.36,94.0,35.1,0.866,1.056,-9.56,0.91,1.1,0.421,5.63
2017,20.49,32.79,-12.31,66997.47,55.0,61.8,2.15,2.423,-5.02,4.129,6.54,0.726,-3.36
2018,-3.71,-0.13,-3.59,64509.47,99.0,23.2,-0.254,-0.313,-15.71,-0.237,1.37,0.437,-3.67
2019,6.59,39.16,-32.56,68761.33,87.0,31.0,0.892,1.111,-4.84,1.366,0.85,0.357,-7.41
2020,23.16,48.65,-25.5,84683.26,58.0,41.4,1.442,1.842,-12.31,1.881,2.31,0.281,9.5
2021,9.1,27.42,-18.32,92391.28,73.0,46.6,0.749,1.013,-8.81,1.042,1.27,0.643,-8.63
2022,-14.94,-32.58,17.64,78591.48,115.0,16.5,-2.222,-2.871,-18.78,-0.802,1.28,0.156,-9.92
2023,18.3,54.86,-36.56,92973.92,66.0,43.9,1.672,2.588,-7.66,2.419,2.84,0.513,-10.02
2024,8.22,25.75,-17.53,100619.35,52.0,34.6,0.773,1.041,-6.67,1.233,1.89,0.48,-4.14
2025,5.06,20.77,-15.71,105711.59,75.0,26.7,0.525,0.767,-9.43,0.538,1.24,0.288,-0.93
2026,9.69,16.27,-6.59,115950.97,39.0,46.2,1.009,1.391,-10.71,1.902,2.62,0.734,-5.53
全期汇总,131.9,659.06,-527.16,115950.97,906.0,34.1,0.68,0.858,-19.36,0.392,,0.37,0.46
