,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,-2.98,9.84,-12.82,48512.4,103.0,30.1,-0.239,-0.281,-11.97,-0.249,0.48,0.453,-7.45
2016,7.09,7.22,-0.13,51951.72,114.0,36.8,0.746,0.919,-9.55,0.749,0.9,0.427,4.04
2017,21.6,32.79,-11.19,63173.18,60.0,58.3,2.131,2.407,-4.97,4.395,5.18,0.803,-4.8
2018,4.13,-0.13,4.26,65784.31,95.0,27.4,0.366,0.474,-18.19,0.228,1.84,0.453,4.2
2019,10.04,39.16,-29.11,72390.62,93.0,43.0,1.054,1.327,-7.86,1.281,1.22,0.466,-8.25
2020,37.96,48.65,-10.69,99867.63,42.0,47.6,1.751,2.025,-13.67,2.776,4.16,0.325,22.15
2021,4.0,27.42,-23.42,103861.89,54.0,40.7,0.411,0.541,-8.48,0.476,1.25,0.532,-10.7
2022,-10.69,-32.58,21.88,92754.99,122.0,20.5,-0.998,-1.375,-17.53,-0.615,1.14,0.235,-3.08
2023,23.33,54.86,-31.52,114396.76,61.0,44.3,1.936,3.161,-7.42,3.183,3.63,0.559,-7.48
2024,28.2,25.75,2.45,146656.65,21.0,52.4,1.774,2.397,-8.36,3.374,2.64,0.541,14.26
2025,11.62,20.77,-9.15,163696.76,45.0,28.9,0.841,1.105,-16.3,0.715,3.51,0.325,4.89
2026,7.22,16.27,-9.05,175515.7,27.0,37.0,1.005,1.394,-7.32,2.05,3.54,0.521,-3.41
全期汇总,251.03,659.06,-408.03,175515.7,837.0,36.1,0.926,1.172,-18.2,0.634,,0.394,3.95
