,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,2.35,9.84,-7.5,51173.44,93.0,32.3,0.231,0.282,-11.62,0.202,0.62,0.516,-2.74
2016,8.59,7.22,1.37,55571.74,94.0,35.1,0.864,1.053,-9.56,0.907,1.1,0.421,5.6
2017,20.5,32.79,-12.29,66964.04,55.0,61.8,2.152,2.425,-5.02,4.132,6.54,0.726,-3.35
2018,1.55,-0.13,1.67,67999.52,94.0,20.2,0.183,0.232,-17.55,0.088,1.67,0.437,1.61
2019,6.43,39.16,-32.73,72371.12,87.0,31.0,0.88,1.095,-4.79,1.347,0.85,0.351,-7.36
2020,27.98,48.65,-20.67,92619.96,42.0,50.0,1.69,1.963,-10.38,2.697,3.57,0.273,14.72
2021,6.04,27.42,-21.38,98217.67,64.0,43.8,0.581,0.771,-8.45,0.721,1.33,0.554,-9.23
2022,-13.89,-32.58,18.69,84573.94,118.0,14.4,-1.797,-2.465,-17.67,-0.792,1.23,0.177,-8.2
2023,19.89,54.86,-34.96,101396.63,65.0,44.6,1.77,2.763,-7.91,2.544,2.71,0.519,-8.7
2024,24.66,25.75,-1.1,126398.16,46.0,34.8,1.535,2.03,-8.76,2.813,1.36,0.552,10.45
2025,12.16,20.77,-8.61,141767.34,52.0,26.9,0.804,1.127,-18.05,0.676,3.44,0.36,4.7
2026,8.82,16.27,-7.45,154272.76,30.0,46.7,1.115,1.553,-7.92,2.332,4.63,0.56,-1.3
全期汇总,208.55,659.06,-450.51,154272.76,840.0,33.6,0.85,1.08,-18.72,0.549,,0.371,3.15
