variant,总收益率%,年化收益率%,夏普比率,最大回撤%,卡玛比率,总交易笔数,胜率%,基准QQQ%
v2.1_baseline,206.88,10.24,0.769,-21.42,0.478,752,32.7,659.06
v2.2_default,270.99,12.08,0.897,-20.28,0.596,857,33.3,659.06
