,收益率%,QQQ%,简单Alpha%,期末金额,交易数,胜率%,Sharpe,Sortino,MDD%,Calmar,Profit Factor,Beta,CAPM Alpha%
2015,1.51,9.84,-8.33,50755.68,126.0,18.3,0.178,0.225,-9.57,0.158,0.36,0.52,-3.61
2016,19.32,7.22,12.1,60560.2,148.0,20.3,1.389,1.894,-8.43,2.313,0.95,0.572,15.33
2017,25.72,32.79,-7.07,76135.44,75.0,37.3,2.263,2.565,-6.11,4.26,10.85,0.811,-0.91
2018,-0.53,-0.13,-0.4,75734.98,100.0,13.0,0.024,0.029,-15.7,-0.034,1.61,0.462,-0.47
2019,19.34,39.16,-19.82,90380.52,100.0,21.0,1.753,2.535,-7.15,2.714,1.27,0.514,-0.81
2020,47.56,48.65,-1.09,133364.36,38.0,21.1,1.763,2.244,-15.77,3.015,2.32,0.501,23.19
2021,6.11,27.42,-21.3,141519.58,78.0,19.2,0.413,0.557,-16.39,0.376,5.39,0.855,-17.49
2022,-6.69,-32.58,25.89,132056.08,111.0,9.9,-0.975,-1.296,-11.78,-0.572,0.93,0.154,-1.69
2023,7.8,54.86,-47.05,142358.33,73.0,28.8,1.073,1.7,-7.55,1.046,1.62,0.325,-10.19
2024,12.77,25.75,-12.98,160541.85,24.0,33.3,1.271,1.787,-6.22,2.055,2.73,0.477,0.49
2025,11.04,20.77,-9.73,178272.42,49.0,10.2,1.094,1.4,-7.81,1.419,2.85,0.322,4.36
2026,27.07,16.27,10.8,226538.32,32.0,15.6,1.89,2.555,-8.89,6.937,0.16,0.972,27.35
全期汇总,353.08,659.06,-305.98,226538.32,954.0,19.7,0.995,1.233,-16.39,0.856,,0.453,5.3
